TDNTuple3Agt: USESYM:true; P:4; NORMALIZE:false; sigmoid:tanh; lambda:0.5; horizon:7; AFTERSTATE:false; learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2; epsilon_init->final:0.2->0.2; gamma: 1.0; random 50 6-tuple
run; gameNum; evalQ; evalT; actionNum; trnMoves; elapsedTime; movesSecond;P ; N
1; 90000; 0.6; 0.09999999999999998; 4413512; 5359353; 2186.656; 2018.3842360206636; 3; 0.0
1; 92000; 0.7; 0.9; 4511857; 5478835; 2228.419; 2024.6897015327909; 3; 0.0
1; 94000; 0.4; 0.8; 4609869; 5597774; 2270.314; 2030.498424447015; 3; 0.0
1; 96000; 1.0; 1.0; 4708283; 5717166; 2313.534; 2035.1043036324513; 3; 0.0
1; 98000; 1.0; 1.0; 4806349; 5836193; 2355.652; 2040.3476404833991; 3; 0.0
1; 100000; 1.0; 1.0; 4903742; 5954683; 2397.38; 2045.4587925151623; 3; 0.0
1; 102000; 0.6; 0.8; 5001979; 6073966; 2439.667; 2050.2712050456066; 3; 0.0
1; 104000; 0.7; 0.55; 5100351; 6193532; 2483.834; 2053.4186262044886; 3; 0.0
1; 106000; 1.0; 1.0; 5198765; 6312980; 2526.274; 2057.8785199071835; 3; 0.0
1; 108000; 0.5; 0.8500000000000001; 5296011; 6431045; 2567.967; 2062.336081421607; 3; 0.0
1; 110000; 0.8; 0.8500000000000001; 5394158; 6550318; 2609.81; 2066.87766542392; 3; 0.0
1; 112000; 1.0; 1.0; 5492857; 6669966; 2653.486; 2070.0531301088454; 3; 0.0
1; 114000; 0.30000000000000004; 0.0; 5591118; 6789381; 2695.571; 2074.1868791436027; 3; 0.0
1; 116000; 0.8; 0.8; 5689492; 6908677; 2737.435; 2078.402592207669; 3; 0.0
1; 118000; 1.0; 1.0; 5787916; 7028055; 2780.547; 2081.5745966531044; 3; 0.0
1; 120000; 0.95; 1.0; 5886372; 7147715; 2823.031; 2085.124817970472; 3; 0.0
1; 122000; 1.0; 1.0; 5984821; 7267226; 2864.722; 2089.1454738016464; 3; 0.0
