controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
15, 30000, 0.3333333333333333, 0.16666666666666666, 0.0, 834384, 387192
15, 35000, 0.3333333333333333, 0.25, 0.0, 966720, 448360
15, 40000, 0.0, 0.3333333333333333, 0.0, 1095866, 507933
15, 45000, 0.3333333333333333, 0.25, 0.0, 1222090, 566045
15, 50000, 0.6666666666666666, 0.41666666666666663, 0.0, 1345998, 622999
15, 55000, 1.0, 0.25, 0.0, 1466754, 678377
15, 60000, 1.0, 0.08333333333333333, 0.0, 1585054, 732527
15, 65000, 0.3333333333333333, 0.25, 0.0, 1700888, 785444
15, 70000, 1.0, 0.5, 0.0, 1812794, 836397
15, 75000, 1.0, 0.5, 0.0, 1923302, 886651
15, 80000, 0.0, 0.6666666666666666, 0.0, 2032222, 936111
15, 85000, 1.0, 0.6666666666666666, 0.0, 2137574, 983787
15, 90000, 1.0, 0.75, 0.0, 2239342, 1029671
15, 95000, 1.0, 0.75, 0.0, 2343362, 1076681
15, 100000, 0.3333333333333333, 0.49999999999999994, 0.0, 2443840, 1121920
16, 5000, 0.0, 0.16666666666666666, 0.0, 139778, 64889
16, 10000, 0.0, 0.0, 0.0, 279552, 129776
16, 15000, 0.6666666666666666, 0.08333333333333333, 0.0, 419750, 194875
16, 20000, 0.3333333333333333, 0.41666666666666663, 0.0, 559808, 259904
16, 25000, 0.3333333333333333, 0.08333333333333333, 0.0, 699808, 324904
16, 30000, 0.0, 0.25, 0.0, 836318, 388159
16, 35000, 0.3333333333333333, 0.3333333333333333, 0.0, 969242, 449621
16, 40000, 0.0, 0.3333333333333333, 0.0, 1098840, 509420
16, 45000, 0.3333333333333333, 0.16666666666666666, 0.0, 1225388, 567694
16, 50000, 0.3333333333333333, 0.08333333333333333, 0.0, 1349416, 624708
16, 55000, 0.0, 0.0, 0.0, 1471090, 680545
16, 60000, 0.3333333333333333, 0.3333333333333333, 0.0, 1589080, 734540
16, 65000, 0.3333333333333333, 0.3333333333333333, 0.0, 1705588, 787794
16, 70000, 0.3333333333333333, 0.6666666666666666, 0.0, 1818602, 839301
16, 75000, 0.6666666666666666, 0.08333333333333333, 0.0, 1929776, 889888
16, 80000, 1.0, 0.3333333333333333, 0.0, 2039636, 939818
16, 85000, 1.0, 0.7499999999999999, 0.0, 2147048, 988524
16, 90000, 0.6666666666666666, 0.8333333333333333, 0.0, 2252502, 1036251
16, 95000, 0.6666666666666666, 0.7499999999999999, 0.0, 2354060, 1082030
16, 100000, 1.0, 0.6666666666666666, 0.0, 2457290, 1128645
17, 5000, 0.6666666666666666, 0.25, 0.0, 139510, 64755
17, 10000, 0.6666666666666666, 0.25, 0.0, 279094, 129547
17, 15000, 1.0, 0.16666666666666666, 0.0, 419262, 194631
17, 20000, 0.3333333333333333, 0.41666666666666663, 0.0, 559204, 259602
17, 25000, 0.3333333333333333, 0.08333333333333333, 0.0, 698664, 324332
17, 30000, 0.6666666666666666, 0.16666666666666666, 0.0, 835372, 387686
17, 35000, 0.6666666666666666, 0.16666666666666666, 0.0, 967810, 448905
17, 40000, 0.6666666666666666, 0.25, 0.0, 1097074, 508537
17, 45000, 0.0, 0.16666666666666666, 0.0, 1223394, 566697
17, 50000, 1.0, 0.16666666666666666, 0.0, 1347016, 623508
17, 55000, 1.0, 0.16666666666666666, 0.0, 1468116, 679058
17, 60000, 0.3333333333333333, 0.08333333333333333, 0.0, 1586336, 733168
17, 65000, 0.3333333333333333, 0.7499999999999999, 0.0, 1701864, 785932
17, 70000, 0.6666666666666666, 0.41666666666666663, 0.0, 1815130, 837565
17, 75000, 0.0, 0.5, 0.0, 1925490, 887745
17, 80000, 0.3333333333333333, 0.5, 0.0, 2031856, 935928
17, 85000, 1.0, 0.8333333333333333, 0.0, 2137842, 983921
17, 90000, 1.0, 0.8333333333333333, 0.0, 2241646, 1030823
17, 95000, 0.6666666666666666, 0.7499999999999999, 0.0, 2343018, 1076509
17, 100000, 0.6666666666666666, 0.75, 0.0, 2443102, 1121551
